Certificación,Enfocada en...,¿Qué garantiza?,Nivel de aplicación,Comentarios clave
GOTS,Materiales orgánicos,"Fibra orgánica, proceso sin tóxicos, condiciones laborales justas",Producto,Muy exigente; mezcla criterios ecológicos y sociales
B Corp,Responsabilidad empresarial,"Buenas prácticas sociales, ambientales y de transparencia a nivel empresarial",Empresa,"Evalúa toda la empresa, no solo productos"
OEKO-TEX,Seguridad del consumidor,Ausencia de sustancias nocivas en el producto final,Producto (físico),No mide impacto ambiental o laboral
Fair Trade,Comercio justo,"Condiciones laborales dignas, salarios justos, no explotación",Cadena de suministro,Ideal para analizar condiciones humanas
GRS (Global Recycled Standard),Material reciclado,Que el contenido reciclado está verificado y que se cumplen criterios sociales y ambientales.,Producto / Empresa,Fuerte enfoque en reciclaje y trazabilidad.
RCS (Recycled Claim Standard),Contenido reciclado,Verifica el porcentaje exacto de materiales reciclados en un producto.,Producto,"Menos completa que GRS, pero útil para seguimiento de contenido reciclado."
Cradle to Cradle,Economía circular / ciclo de vida,Certifica productos diseñados para ser totalmente reciclables o compostables.,Producto,Ideal para economía circular y diseño sostenible.
Bluesign®,Producción química responsable,Asegura que los productos se fabriquen con mínima huella química y consumo responsable.,Proceso / Empresa,"Alta exigencia química, usada por marcas técnicas."
SA8000,Condiciones laborales,Estándar social que certifica derechos laborales y condiciones de trabajo dignas.,Empresa,Énfasis en derechos humanos y laborales.
PETA-Approved Vegan,Bienestar animal / veganismo,Garantiza que no se han usado materiales de origen animal.,Producto,Buena para moda ética y cruelty-free.
Carbon Trust,Huella de carbono,Certifica la reducción de emisiones de CO₂ en procesos/productos.,Producto / Empresa,Evaluación de impacto climático directa.
ISO 14001,Gestión ambiental empresarial,Certifica sistemas de gestión ambiental eficaces en la empresa.,Empresa,"Amplia aceptación, útil para gestión corporativa."
